Sl no,City ID,City,Languages with split (social media),Population (total) Dynamic for Census,Population (below 35yrs),Internet penetration,Time zones (2 for Europe),Country,Continent,Area( km^2),Latitude and longitude,Internet Search tool,Source ,
41,209,Durban,"isiZulu, English, Zulu, 
Xhosa and Afrikaans ","595,061",,,GMT+2,South Africa,Africa,"2,292","29.8587° S, 31.0218° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
42,210,Kumasi,Twi,1.73 million,,,GMT/UTC + 0h,Ghana,Africa,254,"6.6666° N, 1.6163° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
43,211,Accra,"Akan, Ga, Dangbe,  
Nzema
",1.594 million,,,GMT/UTC + 0h,Ghana,Africa,225.67,"5.6037° N, 0.1870° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
44,212,Alexandria,"Arabic, Sa'idi Arabic 
(29%) 
Bedouin Arabic (1.6%) 
Sudanese Arabic (0.6%)
 Domari (0.3%) 
Nobiin (0.3%) Beja (0.1%) 
Siwi Coptic ",5.2 million,,,GMT+2,Egypt,Africa,"2,679","31.2001° N, 29.9187° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
45,213,Port Louis," Creole, Bhojpuri, French","148,147",,,GMT+4,Mauritius,Africa,46.7,"20.1609° S, 57.5012° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
46,214,Port Harcourt,"English, Ikwerre, Ijaw and Ogoni","3,020,000",,,GMT+1,Nigeria,Africa,,"4.8156° N, 7.0498° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
47,215,        Giza,"Literary Arabic, Egyptian Arabic, Sa'idi Arabic, Bedouin Arabic, Sudanese Arabic, Domari","3,628,000",,,GMT+2,Egypt,Africa,,"30.0131° N, 31.2089° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
48,216,ADDIS ABABA,"Afar, Amharic, English, Oromo, Somali, Tigrinya",4.8 million,,,GMT+3,Ethiopia,Africa,,"8.9806° N, 38.7578° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
53,301,Frankfurt,"German,  Low Rhenish; 
Limburgish; Luxembo
English (56%)
French (18%)
Dutch (9%)
Italian (7%)
Russian (6%)
Spanish (6%)
Danish (2%)","753,056",,,GMT+1,Germany,Europe,248.31,"50.1109° N, 8.6821° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
54,302,Paris,"Parisian French, 
French, English",2.161 million,,,GMT+1,France,Europe,105.4,"48.8566° N, 2.3522° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
55,303,London,English,8.982 million,,,GMT+0,United Kingdom,Europe,"1,572","51.5074° N, 0.1278° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
56,304,Brussels,"Dutch, French, 
and German",1.209 million,,,GMT+1,Belgium,Europe,162.4,"50.8503° N, 4.3517° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
57,305,Helsinki,"Finnish, Swedish, 
(minortiy)Sami, Romani, 
Finnish Sign Language, 
Karelian","631,695",,,GMT+2,Finland,Europe,213.75,"60.1699° N, 24.9384° E
",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
58,306,Stockholm,"Swedish, English","975,904",,,GMT+1,Sweden,Europe,,"59.3293° N, 18.0686° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
59,307,Copenhagen,"Danish,  English , German
Swedish, French","602,481",,,GMT+1,Denmark,Europe,,"55.6761° N, 12.5683° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
